"Date(UTC)","OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
"2025-07-31 01:24:01","1397675230","DOGEUSDC","Stop-Market","BUY","0","136DOGE","2025-07-31 01:25:10","136DOGE","0.22158","30.13488USDC","FILLED"
"2025-07-31 01:21:01","1397670661","DOGEUSDC","Stop-Market","BUY","0","59DOGE","2025-07-31 01:24:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 01:18:01","1397664959","DOGEUSDC","Stop-Market","BUY","0","59DOGE","2025-07-31 01:21:02","0DOGE","0","0USDC","CANCELED"
"2025-07-31 00:55:01","1095911200","ADAUSDC","Stop-Market","SELL","0","142.2ADA","2025-07-31 01:11:19","0ADA","0","0USDC","CANCELED"
"2025-07-31 00:51:02","1397613507","DOGEUSDC","Stop-Market","SELL","0","5DOGE","2025-07-31 00:51:09","5DOGE","0.22218","1.1109USDC","FILLED"
"2025-07-31 00:50:02","1095901682","ADAUSDC","Stop-Market","SELL","0","95.8ADA","2025-07-31 00:50:21","95.8ADA","0.7723","73.98634USDC","FILLED"
"2025-07-31 00:49:01","1397608195","DOGEUSDC","Stop-Market","SELL","0","13DOGE","2025-07-31 00:50:01","0DOGE","0","0USDC","CANCELED"
"2025-07-31 00:49:01","1095899614","ADAUSDC","Stop-Market","SELL","0","66.4ADA","2025-07-31 00:50:03","0ADA","0","0USDC","CANCELED"
"2025-07-31 00:48:02","1397605666","DOGEUSDC","Stop-Market","SELL","0","5DOGE","2025-07-31 00:50:47","5DOGE","0.2223","1.1115USDC","FILLED"
"2025-07-31 00:48:02","1095897964","ADAUSDC","Stop-Market","SELL","0","6.5ADA","2025-07-31 00:50:49","6.5ADA","0.7712","5.0128USDC","FILLED"
"2025-07-31 00:45:05","1397596574","DOGEUSDC","Stop-Market","SELL","0","302DOGE","2025-07-31 01:11:28","0DOGE","0","0USDC","CANCELED"
"2025-07-31 00:45:04","2276996124","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 00:45:17","0.028SOL","179.31","5.02068USDC","FILLED"
"2025-07-31 00:45:04","1397596550","DOGEUSDC","Stop-Market","SELL","0","217DOGE","2025-07-31 00:45:31","217DOGE","0.22235032","48.25002USDC","FILLED"
"2025-07-31 00:45:03","1095892135","ADAUSDC","Stop-Market","SELL","0","190.1ADA","2025-07-31 00:45:31","190.1ADA","0.7712","146.60512USDC","FILLED"
"2025-07-31 00:44:03","2276993340","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 00:44:49","0.028SOL","179.32","5.02096USDC","FILLED"
"2025-07-31 00:43:02","2276991067","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 00:44:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 00:42:03","2276987860","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 00:43:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 00:42:02","1095887694","ADAUSDC","Stop-Market","SELL","0","109.2ADA","2025-07-31 00:45:04","0ADA","0","0USDC","CANCELED"
"2025-07-31 00:42:02","1397588946","DOGEUSDC","Stop-Market","SELL","0","122DOGE","2025-07-31 00:45:05","0DOGE","0","0USDC","CANCELED"
"2025-07-31 00:41:02","2276982910","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 00:42:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 00:40:03","2276976793","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 00:41:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 00:39:04","2276973987","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 00:39:10","0.028SOL","178.67","5.00276USDC","FILLED"
"2025-07-31 00:39:02","1095880163","ADAUSDC","Stop-Market","SELL","0","96ADA","2025-07-31 00:42:03","0ADA","0","0USDC","CANCELED"
"2025-07-31 00:39:02","1397578124","DOGEUSDC","Stop-Market","SELL","0","124DOGE","2025-07-31 00:42:03","0DOGE","0","0USDC","CANCELED"
"2025-07-31 00:38:03","2276972425","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 00:39:04","0SOL","0","0USDC","CANCELED"
"2025-07-31 00:37:03","2276970648","SOLUSDC","Stop-Market","SELL","0","0.028SOL","2025-07-31 00:38:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 00:36:04","2276968687","SOLUSDC","Stop-Market","SELL","0","0.029SOL","2025-07-31 00:37:03","0SOL","0","0USDC","CANCELED"
"2025-07-31 00:34:02","2276963113","SOLUSDC","Stop-Market","SELL","0","0.029SOL","2025-07-31 00:36:04","0SOL","0","0USDC","CANCELED"
"2025-07-31 00:33:03","2276961136","SOLUSDC","Stop-Market","SELL","0","0.029SOL","2025-07-31 00:33:03","0.029SOL","178.48","5.17592USDC","FILLED"
"2025-07-31 00:33:01","1397563194","DOGEUSDC","Stop-Market","SELL","0","20DOGE","2025-07-31 00:34:00","0DOGE","0","0USDC","CANCELED"
"2025-07-31 00:30:04","1397554571","DOGEUSDC","Stop-Market","SELL","0","199DOGE","2025-07-31 00:45:05","0DOGE","0","0USDC","CANCELED"
"2025-07-31 00:00:07","1397491171","DOGEUSDC","Stop-Market","BUY","0","142DOGE","2025-07-31 00:27:00","142DOGE","0.2206","31.3252USDC","FILLED"
"2025-07-31 00:00:04","1095833748","ADAUSDC","Stop-Market","BUY","0","49.7ADA","2025-07-31 00:29:40","49.7ADA","0.7676","38.14972USDC","FILLED"
"2025-07-30 23:50:02","1095824134","ADAUSDC","Stop-Market","SELL","0","254.5ADA","2025-07-30 23:52:22","254.5ADA","0.76377226","194.38004USDC","FILLED"
"2025-07-30 23:50:01","1397475608","DOGEUSDC","Stop-Market","SELL","0","326DOGE","2025-07-30 23:52:56","326DOGE","0.22005061","71.7365USDC","FILLED"
"2025-07-30 23:45:06","1397465535","DOGEUSDC","Stop-Market","SELL","0","328DOGE","2025-07-30 23:46:14","328DOGE","0.22003","72.16984USDC","FILLED"
"2025-07-30 23:45:03","1095818783","ADAUSDC","Stop-Market","SELL","0","249.8ADA","2025-07-30 23:45:37","249.8ADA","0.7638","190.79724USDC","FILLED"
